meeting_number,meeting_year,meeting_month,publication_date,decision,url
121,2006,8,2006-08-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15881
122,2006,10,2006-10-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15882
123,2006,11,2006-11-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15883
124,2007,1,2007-01-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15884
125,2007,3,2007-03-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15885
126,2007,4,2007-04-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15886
127,2007,6,2007-06-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15887
128,2007,7,2007-07-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15888
129,2007,9,2007-09-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15889
130,2007,10,2007-10-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15890
131,2007,12,2007-12-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15891
132,2008,1,2008-01-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15892
133,2008,3,2008-03-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15893
134,2008,4,2008-04-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15894
135,2008,6,2008-06-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15895
136,2008,7,2008-07-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15896
137,2008,9,2008-09-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15897
138,2008,10,2008-10-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15898
139,2008,12,2008-12-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15899
140,2009,1,2009-01-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15900
141,2009,3,2009-03-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15901
142,2009,4,2009-04-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15902
143,2009,6,2009-06-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15903
144,2009,7,2009-07-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15904
145,2009,9,2009-09-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15905
