date,std_4y,prob_regime_0,prob_regime_1,prob_high_vol,prob_low_vol,model_run_release_date,model_n_obs,model_aic,model_bic,is_ad_hoc_date,regime_high_mean,regime_low_mean
2005-08-24,0.5428493150684932,0.9943107248871599,0.005689275112840321,0.005689275112840321,0.9943107248871599,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-08-25,0.5433698630136986,0.9987035058141361,0.001296494185864119,0.001296494185864119,0.9987035058141361,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-08-26,0.5438904109589041,0.9994859004749386,0.0005140995250615478,0.0005140995250615478,0.9994859004749386,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-08-29,0.5454520547945205,0.999651612899692,0.0003483871003082854,0.0003483871003082854,0.999651612899692,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-08-30,0.545972602739726,0.999655631779798,0.00034436822020232437,0.00034436822020232437,0.999655631779798,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-08-31,0.5464931506849315,0.9995039738857622,0.0004960261142379582,0.0004960261142379582,0.9995039738857622,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-01,0.547013698630137,0.9984957006137075,0.0015042993862927681,0.0015042993862927681,0.9984957006137075,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-02,0.5475342465753424,0.9931763729721482,0.006823627027852179,0.006823627027852179,0.9931763729721482,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-05,0.5623013698630137,0.9670686136659562,0.032931386334044015,0.032931386334044015,0.9670686136659562,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-06,0.5527945205479452,0.9489723557704892,0.051027644229510956,0.051027644229510956,0.9489723557704892,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-08,0.5206575342465753,0.9235077755513491,0.07649222444865103,0.07649222444865103,0.9235077755513491,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-09,0.5211780821917809,0.780860751970164,0.21913924802983611,0.21913924802983611,0.780860751970164,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-12,0.5267123287671233,0.5957842162744623,0.40421578372553757,0.40421578372553757,0.5957842162744623,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-13,0.5272876712328767,0.4189342645450582,0.5810657354549418,0.5810657354549418,0.4189342645450582,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-14,0.5278630136986301,0.2464007363159916,0.7535992636840083,0.7535992636840083,0.2464007363159916,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-15,0.5284383561643835,0.08020693831524087,0.9197930616847589,0.9197930616847589,0.08020693831524087,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-16,0.529013698630137,0.01233120276890958,0.9876687972310902,0.9876687972310902,0.01233120276890958,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-19,0.5407397260273973,0.008806746024732371,0.9911932539752676,0.9911932539752676,0.008806746024732371,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
2005-09-20,0.5313150684931507,0.07870148272755978,0.9212985172724403,0.9212985172724403,0.07870148272755978,2015-07-31,3155,-27491.051385002356,-27454.710922352504,False,-7.052048813187579e-05,-7.624475860155627e-05
