date,pca1,prob_low,prob_medium,prob_high,regime
2006-04-11,-3.2847138555456827,0.01,0.23532344251385195,0.754676557486148,high
2006-04-12,-3.2551847556792297,0.01,0.2146979750078939,0.7753020249921061,high
2006-04-13,-3.231781180301438,0.01,0.19676959444178244,0.7932304055582176,high
2006-04-17,-3.447308056263767,0.01,0.3877798463988179,0.6022201536011821,high
2006-04-18,-2.0114594367673546,0.01,8.673617379884035e-18,0.99,high
2006-04-19,-2.0072326099774216,0.01,8.673617379884035e-18,0.99,high
2006-04-20,-2.097239753648076,0.01,0.015091012124667244,0.9749089878753328,high
2006-04-24,-2.121363517644912,0.01,0.021972641442873704,0.9680273585571263,high
2006-04-25,-2.1015274892973523,0.01,0.016820052605360354,0.9731799473946396,high
2006-04-26,-2.290736628603606,0.01,0.07540599448079978,0.9145940055192002,high
2006-04-27,-2.329505121078274,0.01,0.09131369630976173,0.8986863036902383,high
2006-04-28,-2.2231562135057286,0.01,0.05852188294824768,0.9314781170517523,high
2006-05-02,-2.242093127114105,0.01,0.06505310407234112,0.9249468959276589,high
2006-05-03,-2.4563321638094475,0.01,0.1350358655539209,0.8549641344460791,high
2006-05-04,-2.588348495724534,0.01,0.18126835019963217,0.8087316498003678,high
2006-05-05,-2.560949145151488,0.01,0.18251653200228501,0.807483467997715,high
2006-05-08,-2.5818847775346523,0.01,0.19519740802775265,0.7948025919722473,high
2006-05-09,-2.4704384689091405,0.01,0.15841242356936958,0.8315875764306304,high
2006-05-10,-2.4844025874874025,0.01,0.1681669991721022,0.8218330008278978,high
2006-05-11,-2.3228973092812675,0.01,0.1100106042749708,0.8799893957250292,high
2006-05-12,-2.2604570216095463,0.01,0.08876135672539022,0.9012386432746098,high
2006-05-15,-2.2361346553470707,0.01,0.0827564466607802,0.9072435533392198,high
2006-05-16,-2.234103542519742,0.01,0.11910327473430372,0.8708967252656963,high
2006-05-17,-2.3807424914134123,0.01,0.24824761278163232,0.7417523872183677,high
2006-05-18,-2.3995402906900796,0.01,0.26407360054981666,0.7259263994501833,high
2006-05-19,-2.347930611512312,0.01,0.23427041030763074,0.7557295896923693,high
2006-05-22,-2.333677036001326,0.01,0.24333131333394187,0.7466686866660581,high
2006-05-23,-2.315954757190166,0.01,0.25031818265104566,0.7396818173489543,high
2006-05-24,-2.4953630174514556,0.1513380619532668,0.7,0.2986619380467332,medium
2006-05-25,-2.47349790538104,0.01,0.3862927226742079,0.6037072773257921,high
2006-05-26,-2.4479014728143564,0.01,0.36878699210610455,0.6212130078938954,high
2006-05-29,-2.476155888588017,0.1503573966065932,0.7,0.29964260339340676,medium
